                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0339,                 1.0095,                 1.1868,                0.58164,                0.84516,                0.62626,                0.36455,                 1.5355,                 1.0942,                 1.4368,               0.006733,               0.006733,               0.006733
                     35,                  1.018,                0.99864,                 1.1911,                0.59712,                0.89056,                0.65504,                0.38494,                 1.4556,                   1.06,                 1.3822,               0.006634,               0.006634,               0.006634
                     36,                 1.0255,                 1.0074,                 1.1845,                0.60119,                0.90344,                0.65991,                0.39296,                 1.3811,                 1.0289,                 1.3381,               0.006535,               0.006535,               0.006535
                     37,                  1.013,                0.98182,                  1.178,                0.62073,                0.87364,                0.66006,                 0.3671,                 1.6143,                 1.0726,                 1.4909,               0.006436,               0.006436,               0.006436
                     38,                 1.0137,                0.97291,                 1.1799,                0.62862,                0.95109,                0.67939,                0.41544,                 1.3765,                0.97902,                  1.311,               0.006337,               0.006337,               0.006337
                     39,                 1.0018,                 1.0011,                 1.1908,                0.63553,                0.86507,                0.69156,                0.42865,                 1.3199,                 1.0533,                 1.3348,               0.006238,               0.006238,               0.006238
                     40,                  1.008,                0.98824,                 1.1757,                0.59901,                0.88315,                 0.6527,                0.39427,                  1.375,                 1.0545,                 1.3242,               0.006139,               0.006139,               0.006139
                     41,                0.95846,                 0.9283,                 1.1468,                0.62904,                0.88768,                 0.6806,                0.40644,                 1.3704,                0.98458,                 1.3275,                0.00604,                0.00604,                0.00604
                     42,                0.94554,                0.94745,                  1.146,                0.59336,                0.89732,                 0.6744,                0.37665,                 1.5669,                 1.0161,                 1.5137,               0.005941,               0.005941,               0.005941
                     43,                0.96491,                0.99592,                 1.1607,                0.64152,                0.84221,                0.67429,                0.40341,                 1.4341,                 1.0143,                 1.4151,               0.005842,               0.005842,               0.005842
                     44,                0.93987,                0.94501,                 1.1515,                0.62978,                0.88678,                0.67489,                0.42202,                 1.2819,                 1.0456,                 1.2756,               0.005743,               0.005743,               0.005743
                     45,                0.94668,                0.92013,                 1.1556,                0.60343,                0.86235,                  0.667,                0.38722,                 1.4659,                 1.0622,                 1.4509,               0.005644,               0.005644,               0.005644
                     46,                0.94113,                0.91072,                 1.1422,                0.60851,                0.92207,                 0.6806,                0.38769,                 1.4626,                0.99652,                 1.4192,               0.005545,               0.005545,               0.005545
                     47,                0.93676,                0.93383,                 1.1481,                0.63732,                0.93025,                0.70615,                0.40629,                 1.4103,                 1.0401,                 1.3364,               0.005446,               0.005446,               0.005446
                     48,                0.91067,                0.90815,                 1.1165,                0.61928,                0.90928,                0.67692,                0.37706,                 1.4104,                 1.0326,                 1.3534,               0.005347,               0.005347,               0.005347
